303. 	7670 	BioShock 	17,730 	1,040 	94.07% 	94.46%
304. 	303590 	Hidden in Plain Sight 	186 	4 	94.05% 	97.89%
305. 	3720 	Evil Genius 	1,473 	71 	94.05% 	95.40%
306. 	405830 	Turok 2: Seeds of Evil 	622 	25 	94.05% 	96.14%
307. 	562220 	Zup! 2 	3,229 	172 	94.03% 	94.94%
308. 	202170 	Sleeping Dogs™ 	14,281 	837 	94.03% 	94.46%
309. 	440 	Team Fortress 2 	425,653 	26,707 	94.02% 	94.10%
310. 	308600 	Geneshift 	79 	0 	94.02% 	100%
311. 	402620 	Kindred Spirits on the Roof 	401 	14 	94.02% 	96.63%
312. 	561080 	The Price of Freedom 	185 	4 	94.02% 	97.88%
313. 	253750 	Ikaruga 	1,139 	53 	94.01% 	95.55%
314. 	261180 	Lethal League 	3,903 	213 	94.00% 	94.83%
315. 	270370 	Lambda Wars Beta 	2,087 	107 	93.99% 	95.12%
316. 	398000 	Little Big Adventure 2 	135 	2 	93.99% 	98.54%
317. 	272040 	KAMI 	914 	41 	93.98% 	95.71%
318. 	568770 	Cinderella Phenomenon 	632 	26 	93.97% 	96.05%
319. 	26800 	Braid 	5,716 	323 	93.96% 	94.65%
320. 	544970 	Milkmaid of the Milky Way 	107 	1 	93.92% 	99.07%
321. 	7200 	TrackMania United 	739 	32 	93.92% 	95.85%
322. 	491420 	The 9th Day 	182 	4 	93.92% 	97.85%
323. 	98800 	Dungeons of Dredmor 	3,560 	196 	93.91% 	94.78%
324. 	279800 	Grim Legends 2: Song of the Dark Swan 	586 	24 	93.89% 	96.07%
325. 	490840 	Gnomes & Goblins (preview) 	392 	14 	93.89% 	96.55%
326. 	245170 	Skullgirls 	11,181 	666 	93.88% 	94.38%
327. 	464450 	DoDonPachi Resurrection 	268 	8 	93.86% 	97.10%
328. 	48000 	LIMBO 	24,229 	1,492 	93.86% 	94.20%
329. 	22120 	Penumbra: Black Plague 	1,070 	51 	93.84% 	95.45%
330. 	412670 	Bullet Heaven 2 	179 	4 	93.83% 	97.81%
331. 	286160 	Tabletop Simulator 	8,026 	475 	93.83% 	94.41%
332. 	541570 	Sally Face 	287 	9 	93.82% 	96.96%
333. 	461560 	Mandagon 	3,604 	203 	93.79% 	94.67%
